symbole;date;ouverture;haut;bas;cloture;volume
TAIR;02/01/2017;0,6;0,6;0,59;0,6;4651
TAIR;03/01/2017;0,6;0,6;0,59;0,6;1159
TAIR;04/01/2017;0,6;0,6;0,59;0,6;19524
TAIR;05/01/2017;0,6;0,6;0,59;0,6;2205
TAIR;06/01/2017;0,59;0,6;0,59;0,6;42941
TAIR;09/01/2017;0,59;0,6;0,59;0,6;7313
TAIR;10/01/2017;0,6;0,6;0,59;0,6;34185
TAIR;11/01/2017;0,58;0,6;0,58;0,58;37960
TAIR;12/01/2017;0,58;0,59;0,57;0,59;31085
TAIR;13/01/2017;0,58;0,59;0,58;0,59;15664
TAIR;16/01/2017;0,58;0,59;0,58;0,58;28342
TAIR;17/01/2017;0,58;0,59;0,57;0,59;50290
TAIR;18/01/2017;0,58;0,58;0,58;0,58;29715
TAIR;19/01/2017;0,58;0,58;0,57;0,57;83082
TAIR;20/01/2017;0,58;0,58;0,57;0,57;40978
TAIR;23/01/2017;0,57;0,58;0,56;0,57;46453
TAIR;24/01/2017;0,58;0,58;0,56;0,57;53061
TAIR;25/01/2017;0,57;0,57;0,56;0,56;16240
TAIR;26/01/2017;0,57;0,57;0,56;0,57;20540
TAIR;27/01/2017;0,57;0,57;0,56;0,56;17840
TAIR;30/01/2017;0,57;0,57;0,56;0,57;10204
TAIR;31/01/2017;0,57;0,57;0,56;0,57;3284
TAIR;01/02/2017;0,57;0,57;0,56;0,57;7200
TAIR;02/02/2017;0,57;0,57;0,56;0,56;6121
TAIR;03/02/2017;0,57;0,57;0,56;0,56;12168
TAIR;06/02/2017;0,56;0,56;0,55;0,56;24412
TAIR;07/02/2017;0,56;0,56;0,55;0,56;5667
TAIR;08/02/2017;0,56;0,56;0,55;0,56;3321
TAIR;09/02/2017;0,57;0,57;0,55;0,56;3562
TAIR;10/02/2017;0,56;0,56;0,55;0,56;37943
TAIR;13/02/2017;0,55;0,56;0,55;0,56;15026
TAIR;14/02/2017;0,55;0,55;0,55;0,55;6582
TAIR;15/02/2017;0,56;0,56;0,55;0,56;4395
TAIR;16/02/2017;0,55;0,56;0,55;0,56;5601
TAIR;17/02/2017;0,56;0,56;0,55;0,55;26318
TAIR;20/02/2017;0,56;0,56;0,55;0,55;10159
TAIR;21/02/2017;0,55;0,55;0,54;0,55;44818
TAIR;22/02/2017;0,55;0,55;0,54;0,54;29395
TAIR;23/02/2017;0,54;0,54;0,53;0,54;65412
TAIR;24/02/2017;0,53;0,54;0,53;0,53;2032
TAIR;27/02/2017;0,54;0,54;0,53;0,54;37589
TAIR;28/02/2017;0,53;0,54;0,53;0,54;17731
TAIR;01/03/2017;0,54;0,55;0,54;0,55;48463
TAIR;02/03/2017;0,56;0,57;0,56;0,57;42664
TAIR;03/03/2017;0,57;0,57;0,56;0,57;20486
TAIR;06/03/2017;0,57;0,58;0,56;0,57;36544
TAIR;07/03/2017;0,56;0,57;0,55;0,57;25306
TAIR;08/03/2017;0,57;0,57;0,56;0,57;1115
TAIR;09/03/2017;0,57;0,57;0,55;0,56;64963
TAIR;10/03/2017;0,54;0,55;0,54;0,55;49577
TAIR;13/03/2017;0,54;0,56;0,54;0,54;43103
TAIR;14/03/2017;0,56;0,56;0,53;0,55;94417
TAIR;15/03/2017;0,53;0,55;0,53;0,55;66094
TAIR;16/03/2017;0,55;0,56;0,54;0,55;25050
TAIR;17/03/2017;0,56;0,57;0,55;0,57;22226
TAIR;21/03/2017;0,57;0,57;0,56;0,57;39417
TAIR;22/03/2017;0,57;0,57;0,56;0,57;7421
TAIR;23/03/2017;0,56;0,56;0,56;0,56;1284
TAIR;24/03/2017;0,57;0,57;0,55;0,56;2818
TAIR;27/03/2017;0,55;0,56;0,55;0,56;5574
TAIR;28/03/2017;0,56;0,57;0,56;0,57;21241
TAIR;03/04/2017;0,56;0,57;0,55;0,57;88008
TAIR;04/04/2017;0,58;0,6;0,57;0,59;284469
TAIR;05/04/2017;0,59;0,59;0,58;0,58;12094
TAIR;06/04/2017;0,58;0,58;0,57;0,57;15158
TAIR;07/04/2017;0,57;0,57;0,56;0,56;12916
TAIR;10/04/2017;0,56;0,57;0,56;0,57;421
TAIR;11/04/2017;0,57;0,57;0,56;0,57;505
TAIR;12/04/2017;0,57;0,57;0,56;0,57;11146
TAIR;13/04/2017;0,56;0,57;0,56;0,57;10601
TAIR;14/04/2017;0,56;0,56;0,56;0,56;6705
TAIR;17/04/2017;0,56;0,57;0,56;0,56;12550
TAIR;18/04/2017;0,56;0,56;0,56;0,56;15500
TAIR;19/04/2017;0,56;0,57;0,56;0,56;13690
TAIR;20/04/2017;0,57;0,57;0,55;0,56;30312
TAIR;21/04/2017;0,56;0,56;0,56;0,56;2602
TAIR;24/04/2017;0,56;0,56;0,55;0,55;16575
TAIR;25/04/2017;0,56;0,56;0,55;0,55;10361
TAIR;26/04/2017;0,56;0,56;0,55;0,55;3993
TAIR;27/04/2017;0,55;0,55;0,54;0,54;37523
TAIR;28/04/2017;0,54;0,55;0,53;0,54;87615
TAIR;02/05/2017;0,54;0,54;0,54;0,54;12176
TAIR;03/05/2017;0,55;0,55;0,54;0,55;16990
TAIR;04/05/2017;0,56;0,56;0,54;0,54;229
TAIR;05/05/2017;0,56;0,56;0,55;0,55;5375
TAIR;08/05/2017;0,56;0,56;0,55;0,55;8704
TAIR;09/05/2017;0,55;0,56;0,55;0,55;7512
TAIR;10/05/2017;0,56;0,56;0,55;0,55;10269
TAIR;11/05/2017;0,56;0,56;0,55;0,56;13262
TAIR;12/05/2017;0,56;0,56;0,55;0,56;3836
TAIR;15/05/2017;0,56;0,56;0,54;0,55;16998
TAIR;16/05/2017;0,55;0,55;0,54;0,55;5500
